,Unnamed: 0,Teams,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls,"Anfield, Liverpool","Arena AufSchalke, Gelsenkirchen","Arena Lviv, Lviv","Arsenal Stadium, London","BVB Stadion Dortmund, Dortmund","BayArena, Leverkusen","Beşiktaş Park, Istanbul","Camp Nou, Barcelona","City of Manchester Stadium, Manchester","Estadio Metropolitano, Madrid","Estadio Ramón Sánchez-Pizjuán, Seville","Estadio Santiago Bernabéu, Madrid","Estadio Vicente Calderón, Madrid","Estádio do Dragão, Porto","Estádio do Sport Lisboa e Benfica, Lisbon","Football Arena Munich, Munich","Johan Cruijff ArenA, Amsterdam","Juventus Stadium, Turin","KAA Gent Stadium, Ghent","King Power Stadium, Leicester","NSK Olimpiyskyi, Kyiv","OL Stadium, Décines","OSK Metalist Stadion, Kharkiv","Old Trafford, Manchester","Olympiastadion, Berlin","PSV Stadion, Eindhoven","Parc des Princes, Paris","Principality Stadium, Cardiff","St. Jakob-Park, Basel","Stade Louis II, Monaco","Stadio Olimpico, Rome","Stadio San Paolo, Naples","Stadio San Siro, Milan","Stadion Petrovskiy, St Petersburg","Stamford Bridge, London","Tottenham Hotspur Stadium, London","VfL Wolfsburg Arena, Wolfsburg","Wembley Stadium, London"
10,10,Real Madrid,0.14285714285714285,0.5945945945945947,0.6153846153846154,0.7333333333333333,0.3333333333333333,0.25,0.7692307692307693,0.0,0.7954545454545455,0.3758099352051837,0.9902830352451963,0.4013452914798206,0.12676056338028197,0.3278688524590164,0.2727272727272727,0.5641025641025641,0.16666666666666666,0.25,0.0,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,Atlético,0.0,0.3783783783783784,0.15384615384615385,0.7333333333333333,0.16666666666666666,0.125,0.7692307692307693,0.0,0.20454545454545459,0.1025917926565875,0.432511962191358,0.09641255605381166,0.17527386541471057,0.24590163934426235,0.36363636363636365,0.4615384615384615,0.3333333333333333,0.5,1.0,0.3913043478260869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,Monaco,0.0,0.2972972972972973,0.07692307692307693,0.4666666666666667,0.3333333333333333,0.0,0.46153846153846156,0.2222222222222222,0.6136363636363636,0.3347732181425487,0.6558836622644315,0.3161434977578475,0.2660406885758999,0.639344262295082,0.2727272727272727,0.20512820512820512,0.08333333333333333,0.25,0.0,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,Juventus,0.0,0.21621621621621623,0.07692307692307693,0.4666666666666667,0.08333333333333333,0.06666666666666667,0.46153846153846156,0.1111111111111111,0.38636363636363635,0.23866090712742985,0.48386097795440985,0.21300448430493274,0.3599374021909234,0.6065573770491803,0.2727272727272727,0.41025641025641024,0.3333333333333333,0.25,0.0,0.608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,Barcelona,0.2857142857142857,0.2702702702702703,0.46153846153846156,0.26666666666666666,0.08333333333333333,0.07133333333333333,0.38461538461538464,0.1111111111111111,0.5909090909090909,0.6166306695464364,0.9019064205996505,0.6143497757847534,0.33020344287949954,0.3278688524590164,0.0,0.1282051282051282,0.25,0.0,0.0,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,Paris,0.0,0.21621621621621623,0.15384615384615385,0.26666666666666666,0.25,0.11,0.38461538461538464,0.4444444444444444,0.40909090909090906,0.43520518358531324,0.8188243940678173,0.43049327354260086,0.26917057902973407,0.5245901639344263,0.6363636363636364,0.15384615384615383,0.08333333333333333,0.125,0.0,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,Bayern,0.8571428571428571,0.5405405405405406,0.7692307692307693,0.3333333333333333,0.5,0.11,0.3076923076923077,0.0,0.5681818181818182,0.35853131749460054,0.7145473603434604,0.3452914798206278,0.31455399061032896,0.6065573770491803,0.18181818181818182,0.1282051282051282,0.0,0.125,0.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,Porto,0.14285714285714285,0.13513513513513514,0.07692307692307693,0.3333333333333333,0.0,0.0,0.3076923076923077,0.1111111111111111,0.43181818181818177,0.28077753779697623,0.6841019128502266,0.27242152466367714,0.28482003129890465,0.47540983606557385,0.09090909090909091,0.4615384615384615,0.5,0.625,1.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,Porto,0.42857142857142855,0.16216216216216217,0.38461538461538464,0.13333333333333333,0.0,0.0,0.23076923076923078,0.1111111111111111,0.2272727272727273,0.11771058315334773,0.5173017916892042,0.11547085201793722,0.3082942097026604,0.5245901639344263,0.36363636363636365,0.641025641025641,0.08333333333333333,0.375,0.0,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,Bayern,0.14285714285714285,0.13513513513513514,0.23076923076923078,0.13333333333333333,0.08333333333333333,0.11,0.23076923076923078,0.1111111111111111,0.7727272727272728,0.4989200863930886,0.849327831008245,0.4943946188340807,0.24726134585289516,0.3606557377049181,0.2727272727272727,0.1282051282051282,0.0,0.5,0.0,0.8260869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,Paris,0.14285714285714285,0.1891891891891892,0.3076923076923077,0.06666666666666667,0.25,0.11,0.3076923076923077,0.6666666666666666,0.20454545454545459,0.24946004319654433,0.7490322272668233,0.2522421524663677,0.215962441314554,0.3278688524590164,0.2727272727272727,0.1282051282051282,0.16666666666666666,0.125,0.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,Barcelona,0.42857142857142855,0.21621621621621623,0.46153846153846156,0.06666666666666667,0.16666666666666666,0.07133333333333333,0.3076923076923077,0.1111111111111111,0.7954545454545455,0.6565874730021599,0.9147806708523585,0.6547085201793721,0.2503912363067293,0.37704918032786894,0.4545454545454546,0.1282051282051282,0.25,0.25,0.0,0.3913043478260869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,Juventus,0.14285714285714285,0.32432432432432434,0.38461538461538464,0.4666666666666667,0.08333333333333333,0.06666666666666667,0.46153846153846156,0.2222222222222222,0.7272727272727274,0.47732181425485964,0.8224266706237304,0.4697309417040359,0.3020344287949921,0.4426229508196722,0.6363636363636364,0.10256410256410256,0.16666666666666666,0.0,0.0,0.1739130434782609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,Monaco,0.0,0.35135135135135137,0.38461538461538464,0.4666666666666667,0.16666666666666666,0.0,0.46153846153846156,0.0,0.2727272727272728,0.1673866090712743,0.54034723252708,0.15919282511210764,0.21283255086072006,0.47540983606557385,0.2727272727272727,0.358974358974359,0.08333333333333333,0.125,0.0,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,Atlético,0.0,0.1891891891891892,0.15384615384615385,0.2,0.25,0.125,0.5384615384615385,0.0,0.31818181818181823,0.1598272138228942,0.3013352297384686,0.1311659192825112,0.2378716744913929,0.37704918032786894,0.36363636363636365,0.41025641025641024,0.41666666666666663,0.375,0.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,Real Madrid,0.0,0.40540540540540543,0.6153846153846154,0.2,0.41666666666666663,0.25,0.5384615384615385,0.0,0.6818181818181818,0.40820734341252707,0.675751671011855,0.38340807174887886,0.13302034428794984,0.39344262295081966,0.2727272727272727,0.41025641025641024,0.25,0.25,0.0,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,Dortmund,0.0,0.24324324324324326,0.15384615384615385,0.2,0.41666666666666663,0.11,0.38461538461538464,0.3333333333333333,0.6136363636363636,0.4222462203023759,0.8230112371676412,0.41928251121076227,0.3599374021909234,0.4918032786885247,0.4545454545454546,0.07692307692307693,0.16666666666666666,0.125,0.0,0.1739130434782609,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,Juventus,0.42857142857142855,0.2702702702702703,0.46153846153846156,0.2,0.16666666666666666,0.06666666666666667,0.38461538461538464,0.2222222222222222,0.38636363636363635,0.3110151187904968,0.7978008477019936,0.3139013452914798,0.38654147104851355,0.3606557377049181,0.18181818181818182,0.41025641025641024,0.41666666666666663,0.0,0.0,0.30434782608695654,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,Barcelona,0.14285714285714285,0.5945945945945947,0.8461538461538463,0.6,0.25,0.07133333333333333,0.5384615384615385,0.3333333333333333,0.6818181818181818,0.43196544276457893,0.6714177490022708,0.40358744394618834,0.28951486697965567,0.2622950819672132,0.0,0.41025641025641024,0.5,0.125,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,Man. City,0.0,0.5135135135135136,0.3076923076923077,0.6,0.5833333333333333,0.06666666666666667,0.5384615384615385,0.0,0.31818181818181823,0.2397408207343413,0.5561625748385124,0.22197309417040356,0.24726134585289516,0.3278688524590164,0.0,0.30769230769230765,0.3333333333333333,0.625,0.0,0.3913043478260869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,Atlético,0.14285714285714285,0.2972972972972973,0.38461538461538464,0.26666666666666666,0.25,0.125,0.8461538461538463,0.4444444444444444,0.6136363636363636,0.17926565874730024,0.2131621902359413,0.13789237668161436,0.8497652582159627,1.0,0.0,0.3846153846153846,0.08333333333333333,0.5,0.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,Leverkusen,0.0,0.1891891891891892,0.23076923076923078,0.26666666666666666,0.08333333333333333,0.0,0.8461538461538463,0.1111111111111111,0.38636363636363635,0.2429805615550756,0.19302905250187186,0.18385650224215244,0.8904538341158059,0.918032786885246,0.0,0.8717948717948718,0.25,0.75,0.0,0.9565217391304347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,Monaco,0.0,0.05405405405405406,0.0,0.06666666666666667,0.16666666666666666,0.0,0.0,0.4444444444444444,0.25,0.11987041036717064,0.5787414735176717,0.12219730941704032,0.28951486697965567,0.6885245901639345,0.0,0.8205128205128205,0.3333333333333333,0.125,0.0,0.4347826086956521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33,Arsenal,0.2857142857142857,0.2972972972972973,0.5384615384615385,0.06666666666666667,0.3333333333333333,0.16666666666666666,0.0,0.2222222222222222,0.7500000000000001,0.5766738660907128,0.8988587462396622,0.5762331838565022,0.29264475743349005,0.6885245901639345,0.0,0.025641025641025633,0.16666666666666666,0.125,0.0,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34,Bayern,1.0,0.6486486486486487,1.0,0.5333333333333333,0.3333333333333333,0.11,0.6153846153846154,0.2222222222222222,0.8409090909090909,0.5323974082073435,1.0,0.553811659192825,0.23161189358372458,0.1311475409836066,0.0,0.10256410256410256,0.08333333333333333,0.25,0.0,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35,Shakhtar Donetsk,0.0,0.21621621621621623,0.0,0.5333333333333333,0.08333333333333333,0.0,0.6153846153846154,0.2222222222222222,0.15909090909090917,0.03563714902807777,0.6392442491577208,0.0538116591928251,0.07824726134585291,0.0,0.18181818181818182,0.5128205128205128,0.3333333333333333,0.125,1.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,Chelsea,0.2857142857142857,0.35135135135135137,0.46153846153846156,0.2,0.41666666666666663,0.6666666666666666,0.5384615384615385,0.2222222222222222,0.5227272727272728,0.4546436285097193,0.9194024027122989,0.46524663677130046,0.7480438184663536,0.4918032786885247,0.2727272727272727,0.5128205128205128,0.3333333333333333,0.375,0.0,0.9130434782608695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,37,Paris,0.2857142857142857,0.32432432432432434,0.46153846153846156,0.2,0.3333333333333333,0.11,0.5384615384615385,0.5555555555555556,0.4772727272727274,0.46868250539956813,0.8945645049229096,0.47421524663677134,0.6651017214397499,0.639344262295082,0.36363636363636365,0.43589743589743585,0.41666666666666663,0.5,1.0,0.608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38,38,Real Madrid,0.42857142857142855,0.35135135135135137,0.6923076923076923,0.2,0.16666666666666666,0.25,0.38461538461538464,0.2222222222222222,0.5227272727272728,0.3488120950323975,0.871872937251509,0.35874439461883406,0.2863849765258215,0.3114754098360656,0.09090909090909091,0.48717948717948717,0.16666666666666666,0.25,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
